local_gov,tax_type,vendor_num,fy_year,fy_total
ABINGDON,MT,390000010,2006,161148.7
ABINGDON,MT,390000010,2007,162738.05
ABINGDON,MT,390000010,2008,171264.81999999998
ABINGDON,MT,390000010,2009,171161.86
ABINGDON,MT,390000010,2010,171798.31
ABINGDON,MT,390000010,2011,178202.84
ABINGDON,MT,390000010,2012,187445.4
ABINGDON,MT,390000010,2013,186580.02
ABINGDON,MT,390000010,2014,177733.47
ABINGDON,MT,390000010,2015,180452.88
ABINGDON,MT,390000010,2016,169166.34
ABINGDON,MT,390000010,2017,165371.01
ABINGDON,MT,390000010,2018,186995.83
ABINGDON,MT,390000010,2019,172072.6
ABINGDON,MT,390000010,2020,173175.78
ABINGDON,MT,390000010,2021,179833.02
ADAMS COUNTY GOVERNMENT,CST,290000001,2006,1762265.41
ADAMS COUNTY GOVERNMENT,CST,290000001,2007,1812424.6500000001
ADAMS COUNTY GOVERNMENT,CST,290000001,2008,1900609.98
ADAMS COUNTY GOVERNMENT,CST,290000001,2009,1926756.78
ADAMS COUNTY GOVERNMENT,CST,290000001,2010,1872649.56
ADAMS COUNTY GOVERNMENT,CST,290000001,2011,2033245.26
ADAMS COUNTY GOVERNMENT,CST,290000001,2012,2026170.2
ADAMS COUNTY GOVERNMENT,CST,290000001,2013,2071669.21
ADAMS COUNTY GOVERNMENT,CST,290000001,2014,2170099.68
ADAMS COUNTY GOVERNMENT,CST,290000001,2015,2199682.7
ADAMS COUNTY GOVERNMENT,CST,290000001,2016,2230466.37
ADAMS COUNTY GOVERNMENT,CST,290000001,2017,2200932.49
ADAMS COUNTY GOVERNMENT,CST,290000001,2018,2159355.94
ADAMS COUNTY GOVERNMENT,CST,290000001,2019,2201646.46
ADAMS COUNTY GOVERNMENT,CST,290000001,2020,2231386.91
ADAMS COUNTY GOVERNMENT,CST,290000001,2021,2358033.22
ADAMS COUNTY GOVERNMENT,CT,290000001,2006,468342.32
ADAMS COUNTY GOVERNMENT,CT,290000001,2007,454832.92000000004
ADAMS COUNTY GOVERNMENT,CT,290000001,2008,564542.26
ADAMS COUNTY GOVERNMENT,CT,290000001,2009,538450.21
ADAMS COUNTY GOVERNMENT,CT,290000001,2010,505710.9
ADAMS COUNTY GOVERNMENT,CT,290000001,2011,624419.61
ADAMS COUNTY GOVERNMENT,CT,290000001,2012,478117.82
ADAMS COUNTY GOVERNMENT,CT,290000001,2013,533123.37
ADAMS COUNTY GOVERNMENT,CT,290000001,2014,714377.74
ADAMS COUNTY GOVERNMENT,CT,290000001,2015,619946.95
ADAMS COUNTY GOVERNMENT,CT,290000001,2016,629471.76
ADAMS COUNTY GOVERNMENT,CT,290000001,2017,591421.63
ADAMS COUNTY GOVERNMENT,CT,290000001,2018,573571.01
ADAMS COUNTY GOVERNMENT,CT,290000001,2019,631064.94
ADAMS COUNTY GOVERNMENT,CT,290000001,2020,813661.4
ADAMS COUNTY GOVERNMENT,CT,290000001,2021,731971.04
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2016,1345912.72
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2017,1788223.95
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2018,1726449.72
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2019,1747183.73
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2020,1727673.7
ADAMS COUNTY GOVERNMENT,CTPS,290000001,2021,1836969.61
ADDIEVILLE,MT,390000018,2006,39569.9
ADDIEVILLE,MT,390000018,2007,38279.28
ADDIEVILLE,MT,390000018,2008,40953.78999999999
ADDIEVILLE,MT,390000018,2009,37921.98
ADDIEVILLE,MT,390000018,2010,42015.1
ADDIEVILLE,MT,390000018,2011,40373.11
ADDIEVILLE,MT,390000018,2012,47208.14
ADDIEVILLE,MT,390000018,2013,49300.32
ADDIEVILLE,MT,390000018,2014,44350.01
ADDIEVILLE,MT,390000018,2015,45974.66
ADDIEVILLE,MT,390000018,2016,51388.56
ADDIEVILLE,MT,390000018,2017,51213.83
ADDIEVILLE,MT,390000018,2018,46596
ADDIEVILLE,MT,390000018,2019,44950.33
ADDIEVILLE,MT,390000018,2020,43486.3
ADDIEVILLE,MT,390000018,2021,53468.6
ADDISON,HMR,390000029,2006,4103429.4
ADDISON,HMR,390000029,2007,4473614.45
ADDISON,HMR,390000029,2008,4874355.78
ADDISON,HMR,390000029,2009,5060187.02
ADDISON,HMR,390000029,2010,4215061.01
ADDISON,HMR,390000029,2011,4559974.109999999
ADDISON,HMR,390000029,2012,5232699.29
ADDISON,HMR,390000029,2013,6225533.44
ADDISON,HMR,390000029,2014,6919484.48
ADDISON,HMR,390000029,2015,6959527.14
ADDISON,HMR,390000029,2016,7897064.41
ADDISON,HMR,390000029,2017,7392818.76
ADDISON,HMR,390000029,2018,7621792.39
ADDISON,HMR,390000029,2019,8132963.17
ADDISON,HMR,390000029,2020,8524195.6
ADDISON,HMR,390000029,2021,8398599.08
ADDISON,MT,390000029,2006,6534492.34
ADDISON,MT,390000029,2007,6986707.05
ADDISON,MT,390000029,2008,7597320.13
ADDISON,MT,390000029,2009,7941387.18
ADDISON,MT,390000029,2010,6748875.49
ADDISON,MT,390000029,2011,7293883.55
ADDISON,MT,390000029,2012,7900571.7
ADDISON,MT,390000029,2013,7668743.32
ADDISON,MT,390000029,2014,8305359.61
ADDISON,MT,390000029,2015,8545336.63
ADDISON,MT,390000029,2016,9714632.24
ADDISON,MT,390000029,2017,9269050.17
ADDISON,MT,390000029,2018,9777106.98
ADDISON,MT,390000029,2019,10309833.57
ADDISON,MT,390000029,2020,11286150.57
ADDISON,MT,390000029,2021,10766666.64
ADDISON,MTART,390000029,2006,152.33
ADDISON,MTART,390000029,2007,134.10999999999999
ADDISON,MTART,390000029,2008,245.26
ADDISON,MTART,390000029,2009,926.3199999999999
ADDISON,MTART,390000029,2010,1015.9399999999999
ADDISON,MTART,390000029,2011,2050.88
ADDISON,MTART,390000029,2012,3359.18
ADDISON,MTART,390000029,2013,4824.66
ADDISON,MTART,390000029,2014,4551.95
ADDISON,MTART,390000029,2015,5329.79
ADDISON,MTART,390000029,2016,5712.47
ADDISON,MTART,390000029,2017,5167.09
ADDISON,MTART,390000029,2018,6530.05
ADDISON,MTART,390000029,2019,41458.47
ADDISON,MTART,390000029,2020,64182
ADDISON,MTART,390000029,2021,22697.42
ADELINE,MT,390000030,2006,1435.95
ADELINE,MT,390000030,2007,1557.59
ADELINE,MT,390000030,2008,2170.5
ADELINE,MT,390000030,2009,2163.98
ADELINE,MT,390000030,2010,1274.44
ADELINE,MT,390000030,2011,750.24
ADELINE,MT,390000030,2012,693.94
ADELINE,MT,390000030,2013,1033.02
ADELINE,MT,390000030,2014,733.71
ADELINE,MT,390000030,2015,2226.01
ADELINE,MT,390000030,2016,2624.28
ADELINE,MT,390000030,2017,2719.65
ADELINE,MT,390000030,2018,2214
ADELINE,MT,390000030,2019,2026.37
ADELINE,MT,390000030,2020,1614.88
ADELINE,MT,390000030,2021,1749.37
ALBANY,MT,390000020,2006,38828.36
ALBANY,MT,390000020,2007,40282.17
ALBANY,MT,390000020,2008,46033.87
ALBANY,MT,390000020,2009,39779.8
ALBANY,MT,390000020,2010,39328.02
ALBANY,MT,390000020,2011,44242.15
ALBANY,MT,390000020,2012,44074.83
ALBANY,MT,390000020,2013,44452.45
ALBANY,MT,390000020,2014,47643.23
ALBANY,MT,390000020,2015,42655.78
ALBANY,MT,390000020,2016,43593.02
ALBANY,MT,390000020,2017,40194.99
ALBANY,MT,390000020,2018,34557.81
ALBANY,MT,390000020,2019,39636.79
ALBANY,MT,390000020,2020,31644.91
ALBANY,MT,390000020,2021,40333.83
ALBERS,MT,390000045,2006,56068.96
ALBERS,MT,390000045,2007,64867.450000000004
ALBERS,MT,390000045,2008,62730.619999999995
ALBERS,MT,390000045,2009,70874.36
ALBERS,MT,390000045,2010,70549.27
ALBERS,MT,390000045,2011,72908.90999999999
ALBERS,MT,390000045,2012,80588.7
ALBERS,MT,390000045,2013,90006.83
ALBERS,MT,390000045,2014,90850.76
ALBERS,MT,390000045,2015,84787.05
ALBERS,MT,390000045,2016,79992.87
ALBERS,MT,390000045,2017,82835.45
ALBERS,MT,390000045,2018,93278.34
ALBERS,MT,390000045,2019,99664.34
ALBERS,MT,390000045,2020,107585.49
ALBERS,MT,390000045,2021,127685.39
ALBION,MT,390000050,2006,214062.37999999998
ALBION,MT,390000050,2007,219980.34999999998
ALBION,MT,390000050,2008,223026.63
ALBION,MT,390000050,2009,234885.75
ALBION,MT,390000050,2010,234528.54
ALBION,MT,390000050,2011,248151.37999999998
ALBION,MT,390000050,2012,270771.97
ALBION,MT,390000050,2013,295067.81
ALBION,MT,390000050,2014,307736.83
ALBION,MT,390000050,2015,306681.49
ALBION,MT,390000050,2016,306417.76
ALBION,MT,390000050,2017,272035
ALBION,MT,390000050,2018,249106.01
ALBION,MT,390000050,2019,263373.29
ALBION,MT,390000050,2020,270216.57
ALBION,MT,390000050,2021,275145.06
ALEDO,MT,390000060,2006,617959.63
ALEDO,MT,390000060,2007,573627.9
ALEDO,MT,390000060,2008,575011.87
ALEDO,MT,390000060,2009,584633.25
ALEDO,MT,390000060,2010,581020.52
ALEDO,MT,390000060,2011,629813.97
ALEDO,MT,390000060,2012,622174.42
ALEDO,MT,390000060,2013,623659.56
ALEDO,MT,390000060,2014,643202.94
ALEDO,MT,390000060,2015,633830.93
ALEDO,MT,390000060,2016,607159.88
ALEDO,MT,390000060,2017,621607.78
ALEDO,MT,390000060,2018,653007.62
ALEDO,MT,390000060,2019,680209.98
ALEDO,MT,390000060,2020,667147.84
ALEDO,MT,390000060,2021,706091.56
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2006,57588.05
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2007,58634.98
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2008,57091.39
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2009,53536.259999999995
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2010,53123.119999999995
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2011,53338.37
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2012,61730.96
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2013,52665.8
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2014,50280.16
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2015,53797.29
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2016,49424.84
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2017,46912.27
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2018,42250.89
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2019,41562.88
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2020,42639.84
ALEXANDER COUNTY GOVERNMENT,CST,290000003,2021,44583.45
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2006,55581.9
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2007,57015.21
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2008,56415.03
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2009,56539.21
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2010,54385.310000000005
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2011,55003.42
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2012,76525.14
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2013,74085.89
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2014,78073.14
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2015,92427.6
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2016,77354.44
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2017,75549.49
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2018,78489.97
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2019,83806.99
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2020,86265.9
ALEXANDER COUNTY GOVERNMENT,CT,290000003,2021,90339.24
ALEXIS,MT,390000070,2006,29445.760000000002
ALEXIS,MT,390000070,2007,33258.61
ALEXIS,MT,390000070,2008,35903.11
ALEXIS,MT,390000070,2009,37975.840000000004
ALEXIS,MT,390000070,2010,32054.34
ALEXIS,MT,390000070,2011,31289.920000000002
ALEXIS,MT,390000070,2012,27635.46
ALEXIS,MT,390000070,2013,25756.43
ALEXIS,MT,390000070,2014,22193.32
ALEXIS,MT,390000070,2015,25166.67
ALEXIS,MT,390000070,2016,27130.24
ALEXIS,MT,390000070,2017,21657.3
ALEXIS,MT,390000070,2018,23792.83
ALEXIS,MT,390000070,2019,28755.85
ALEXIS,MT,390000070,2020,29698.89
ALEXIS,MT,390000070,2021,31397.78
ALGONQUIN,HMR,390000080,2007,2592093.17
ALGONQUIN,HMR,390000080,2008,3613548.88
ALGONQUIN,HMR,390000080,2009,3480824.02
ALGONQUIN,HMR,390000080,2010,3444928.14
ALGONQUIN,HMR,390000080,2011,3543169.02
ALGONQUIN,HMR,390000080,2012,3777482.53
ALGONQUIN,HMR,390000080,2013,3772952.86
ALGONQUIN,HMR,390000080,2014,3822803.58
ALGONQUIN,HMR,390000080,2015,4007439.46
ALGONQUIN,HMR,390000080,2016,4106912.38
ALGONQUIN,HMR,390000080,2017,4207487.74
ALGONQUIN,HMR,390000080,2018,4204311.6
ALGONQUIN,HMR,390000080,2019,4142965.69
ALGONQUIN,HMR,390000080,2020,3961651.47
ALGONQUIN,HMR,390000080,2021,3754915.76
ALGONQUIN,MT,390000080,2006,5552684.09
ALGONQUIN,MT,390000080,2007,6300131.970000001
ALGONQUIN,MT,390000080,2008,6622852.75
ALGONQUIN,MT,390000080,2009,6502175.119999999
ALGONQUIN,MT,390000080,2010,6425318.39
ALGONQUIN,MT,390000080,2011,6577997.59
ALGONQUIN,MT,390000080,2012,7025152.61
ALGONQUIN,MT,390000080,2013,7032809.62
ALGONQUIN,MT,390000080,2014,7102956.76
ALGONQUIN,MT,390000080,2015,7519170.1
ALGONQUIN,MT,390000080,2016,7591396.14
ALGONQUIN,MT,390000080,2017,7710847.41
ALGONQUIN,MT,390000080,2018,7756194.54
ALGONQUIN,MT,390000080,2019,7609613.37
ALGONQUIN,MT,390000080,2020,7496160.31
ALGONQUIN,MT,390000080,2021,7342825.7
ALHAMBRA,MT,390000090,2006,75816.18000000001
ALHAMBRA,MT,390000090,2007,64173.91
ALHAMBRA,MT,390000090,2008,61183.719999999994
ALHAMBRA,MT,390000090,2009,71504.4
ALHAMBRA,MT,390000090,2010,53737.9
ALHAMBRA,MT,390000090,2011,53414.229999999996
ALHAMBRA,MT,390000090,2012,58101.59
ALHAMBRA,MT,390000090,2013,54581.12
ALHAMBRA,MT,390000090,2014,69632.72
ALHAMBRA,MT,390000090,2015,66744.53
ALHAMBRA,MT,390000090,2016,49568.37
ALHAMBRA,MT,390000090,2017,54753.47
ALHAMBRA,MT,390000090,2018,50908.97
ALHAMBRA,MT,390000090,2019,57059.32
ALHAMBRA,MT,390000090,2020,54206.53
ALHAMBRA,MT,390000090,2021,54464.99
ALLENDALE,MT,390000100,2006,5886.1
ALLENDALE,MT,390000100,2007,4665.63
ALLENDALE,MT,390000100,2008,10226.01
ALLENDALE,MT,390000100,2009,17012.920000000002
ALLENDALE,MT,390000100,2010,17819.34
ALLENDALE,MT,390000100,2011,17405.39
ALLENDALE,MT,390000100,2012,19863
ALLENDALE,MT,390000100,2013,22515.67
ALLENDALE,MT,390000100,2014,22207.02
ALLENDALE,MT,390000100,2015,21824.82
ALLENDALE,MT,390000100,2016,19756.59
ALLENDALE,MT,390000100,2017,21551
ALLENDALE,MT,390000100,2018,21533.64
ALLENDALE,MT,390000100,2019,21764.12
ALLENDALE,MT,390000100,2020,19537.85
ALLENDALE,MT,390000100,2021,21036.16
ALLENVILLE,MT,390000105,2006,1217.82
ALLENVILLE,MT,390000105,2007,2052.6
ALLENVILLE,MT,390000105,2008,2308.7
ALLENVILLE,MT,390000105,2009,2239.8
ALLENVILLE,MT,390000105,2010,2903.5
ALLENVILLE,MT,390000105,2011,4655.110000000001
ALLENVILLE,MT,390000105,2012,4032.31
ALLENVILLE,MT,390000105,2013,5575.54
ALLENVILLE,MT,390000105,2014,8031.3
ALLENVILLE,MT,390000105,2015,7760.44
ALLENVILLE,MT,390000105,2016,7418.78
ALLENVILLE,MT,390000105,2017,7435.69
ALLENVILLE,MT,390000105,2018,6286.06
ALLENVILLE,MT,390000105,2019,5487.94
ALLENVILLE,MT,390000105,2020,4909.88
ALLENVILLE,MT,390000105,2021,6411.35
ALLERTON,MT,390000108,2006,23327.3
ALLERTON,MT,390000108,2007,22252.129999999997
ALLERTON,MT,390000108,2008,21495.280000000002
ALLERTON,MT,390000108,2009,24697.24
ALLERTON,MT,390000108,2010,15487.230000000001
ALLERTON,MT,390000108,2011,19761.85
ALLERTON,MT,390000108,2012,22579.57
ALLERTON,MT,390000108,2013,20159.67
ALLERTON,MT,390000108,2014,21311.95
ALLERTON,MT,390000108,2015,23012.23
ALLERTON,MT,390000108,2016,5135.75
ALLERTON,MT,390000108,2017,2165.73
ALLERTON,MT,390000108,2018,2592.3
ALLERTON,MT,390000108,2019,13029.44
ALLERTON,MT,390000108,2020,53181.67
ALLERTON,MT,390000108,2021,14518.83
ALMA,MT,390000110,2006,7054.55
ALMA,MT,390000110,2007,6598.29
ALMA,MT,390000110,2008,5356.5
ALMA,MT,390000110,2009,6390.42
ALMA,MT,390000110,2010,9674.41
ALMA,MT,390000110,2011,10324.730000000001
ALMA,MT,390000110,2012,7366.55
ALMA,MT,390000110,2013,6299.09
ALMA,MT,390000110,2014,6190.42
ALMA,MT,390000110,2015,5306.54
ALMA,MT,390000110,2016,5706.4
ALMA,MT,390000110,2017,7618.57
ALMA,MT,390000110,2018,5547.15
ALMA,MT,390000110,2019,4480.35
ALMA,MT,390000110,2020,4712.33
ALMA,MT,390000110,2021,2791.61
ALORTON,MT,390000120,2006,35324.92
ALORTON,MT,390000120,2007,200825.14
ALORTON,MT,390000120,2008,235101.86
ALORTON,MT,390000120,2009,267742.99000000005
ALORTON,MT,390000120,2010,228500.21000000002
ALORTON,MT,390000120,2011,159060.77000000002
ALORTON,MT,390000120,2012,145607.27
ALORTON,MT,390000120,2013,147508.5
ALORTON,MT,390000120,2014,172311.08
ALORTON,MT,390000120,2015,169304.9
ALORTON,MT,390000120,2016,155185.78
ALORTON,MT,390000120,2017,153901.57
ALORTON,MT,390000120,2018,157606.59
ALORTON,MT,390000120,2019,175055.66
ALORTON,MT,390000120,2020,165697.17
ALORTON,MT,390000120,2021,182240.75
ALPHA,MT,390000130,2006,38619.42
ALPHA,MT,390000130,2007,39803.259999999995
ALPHA,MT,390000130,2008,39807.380000000005
ALPHA,MT,390000130,2009,41895.41
ALPHA,MT,390000130,2010,40371.64
ALPHA,MT,390000130,2011,39753.39
ALPHA,MT,390000130,2012,43790.97
ALPHA,MT,390000130,2013,41527.16
ALPHA,MT,390000130,2014,42040.85
ALPHA,MT,390000130,2015,40527.08
ALPHA,MT,390000130,2016,38307.73
ALPHA,MT,390000130,2017,41551.21
ALPHA,MT,390000130,2018,43978.35
ALPHA,MT,390000130,2019,52357.33
ALPHA,MT,390000130,2020,55355.67
ALPHA,MT,390000130,2021,56586.63
ALSEY,MT,390000139,2006,3553.82
ALSEY,MT,390000139,2007,3524.34
ALSEY,MT,390000139,2008,3678.8700000000003
ALSEY,MT,390000139,2009,3948.06
ALSEY,MT,390000139,2010,5039.63
ALSEY,MT,390000139,2011,5501.6500000000005
ALSEY,MT,390000139,2012,3950.15
ALSEY,MT,390000139,2013,4896.96
ALSEY,MT,390000139,2014,3076.33
ALSEY,MT,390000139,2015,3086.35
ALSEY,MT,390000139,2016,1921.47
ALSEY,MT,390000139,2017,741.12
ALSEY,MT,390000139,2018,2481.39
ALSEY,MT,390000139,2019,2736.18
ALSEY,MT,390000139,2020,2165.47
ALSEY,MT,390000139,2021,4184.6
ALSIP,HMR,390000140,2006,1802240.43
ALSIP,HMR,390000140,2007,1867937.54
ALSIP,HMR,390000140,2008,1915572.3900000001
ALSIP,HMR,390000140,2009,1911271.27
ALSIP,HMR,390000140,2010,1570342.04
ALSIP,HMR,390000140,2011,1664432.35
ALSIP,HMR,390000140,2012,1802268.78
ALSIP,HMR,390000140,2013,1886962.48
ALSIP,HMR,390000140,2014,1930801.4
ALSIP,HMR,390000140,2015,1951061.72
ALSIP,HMR,390000140,2016,1963929.86
ALSIP,HMR,390000140,2017,2407438.86
ALSIP,HMR,390000140,2018,2535112.26
ALSIP,HMR,390000140,2019,2656385.32
ALSIP,HMR,390000140,2020,2669670.3
ALSIP,HMR,390000140,2021,2734237.78
ALSIP,MT,390000140,2006,3400109.58
ALSIP,MT,390000140,2007,3497886.44
ALSIP,MT,390000140,2008,3502759.16
ALSIP,MT,390000140,2009,3412653.7600000002
ALSIP,MT,390000140,2010,2867272.29
ALSIP,MT,390000140,2011,2946211.3499999996
ALSIP,MT,390000140,2012,3111241.66
ALSIP,MT,390000140,2013,3265181.99
ALSIP,MT,390000140,2014,3344339.37
ALSIP,MT,390000140,2015,3430095.05
ALSIP,MT,390000140,2016,3548705.63
ALSIP,MT,390000140,2017,3488758.76
ALSIP,MT,390000140,2018,3543352.43
ALSIP,MT,390000140,2019,3686062.1
ALSIP,MT,390000140,2020,3778010.88
ALSIP,MT,390000140,2021,3957432.73
ALSIP,MTART,390000140,2006,215.98000000000002
ALSIP,MTART,390000140,2007,449.41999999999996
ALSIP,MTART,390000140,2008,376.85
ALSIP,MTART,390000140,2009,244.62
ALSIP,MTART,390000140,2010,1880.82
ALSIP,MTART,390000140,2011,17931.89
ALSIP,MTART,390000140,2012,14395.14
ALSIP,MTART,390000140,2013,13361.76
ALSIP,MTART,390000140,2014,14443.09
ALSIP,MTART,390000140,2015,14749.66
ALSIP,MTART,390000140,2016,15965.86
ALSIP,MTART,390000140,2017,16582.16
ALSIP,MTART,390000140,2018,16058.81
ALSIP,MTART,390000140,2019,21559.01
ALSIP,MTART,390000140,2020,24588
ALSIP,MTART,390000140,2021,28258.23
ALTAMONT,MT,390000150,2006,256289.44
ALTAMONT,MT,390000150,2007,267193.02
ALTAMONT,MT,390000150,2008,270782.68
ALTAMONT,MT,390000150,2009,274656.06
ALTAMONT,MT,390000150,2010,259457.29
ALTAMONT,MT,390000150,2011,271710.89
ALTAMONT,MT,390000150,2012,280014.04
ALTAMONT,MT,390000150,2013,289482.36
ALTAMONT,MT,390000150,2014,281324.62
ALTAMONT,MT,390000150,2015,293356.41
ALTAMONT,MT,390000150,2016,283445.09
ALTAMONT,MT,390000150,2017,301718.39
ALTAMONT,MT,390000150,2018,308966.02
ALTAMONT,MT,390000150,2019,302051.26
ALTAMONT,MT,390000150,2020,290918.47
ALTAMONT,MT,390000150,2021,319840.72
ALTO PASS,MT,390000180,2006,12965.05
ALTO PASS,MT,390000180,2007,13075.57
ALTO PASS,MT,390000180,2008,11795.130000000001
ALTO PASS,MT,390000180,2009,12572.5
ALTO PASS,MT,390000180,2010,10746.08
ALTO PASS,MT,390000180,2011,12588.48
ALTO PASS,MT,390000180,2012,11620.29
ALTO PASS,MT,390000180,2013,11131.07
ALTO PASS,MT,390000180,2014,12640.02
ALTO PASS,MT,390000180,2015,14612.88
ALTO PASS,MT,390000180,2016,14807.8
ALTO PASS,MT,390000180,2017,17309.69
ALTO PASS,MT,390000180,2018,14073.67
ALTO PASS,MT,390000180,2019,15692.49
ALTO PASS,MT,390000180,2020,18889.71
ALTO PASS,MT,390000180,2021,21188.97
ALTON,HMR,390000160,2006,1809478.1600000001
ALTON,HMR,390000160,2007,1861787.5
ALTON,HMR,390000160,2008,1777385.79
ALTON,HMR,390000160,2009,1745917.58
ALTON,HMR,390000160,2010,3049157.2600000002
ALTON,HMR,390000160,2011,3554436.21
ALTON,HMR,390000160,2012,3527961.84
ALTON,HMR,390000160,2013,3375100.61
ALTON,HMR,390000160,2014,3324869.02
ALTON,HMR,390000160,2015,3513536.66
ALTON,HMR,390000160,2016,3649266.85
ALTON,HMR,390000160,2017,3521365.03
ALTON,HMR,390000160,2018,3305956.13
ALTON,HMR,390000160,2019,3268671.38
ALTON,HMR,390000160,2020,3291424.52
ALTON,HMR,390000160,2021,3383779.6
ALTON,MT,390000160,2006,5330241.609999999
ALTON,MT,390000160,2007,5417474.63
ALTON,MT,390000160,2008,5263567.109999999
ALTON,MT,390000160,2009,5081733.05
ALTON,MT,390000160,2010,4999573.3
ALTON,MT,390000160,2011,5106370.09
ALTON,MT,390000160,2012,5079112.8
ALTON,MT,390000160,2013,4855514.83
ALTON,MT,390000160,2014,4795456.21
ALTON,MT,390000160,2015,5060282.01
ALTON,MT,390000160,2016,5177710.54
ALTON,MT,390000160,2017,5057175.33
ALTON,MT,390000160,2018,4887573.27
ALTON,MT,390000160,2019,4768462.27
ALTON,MT,390000160,2020,4907979.98
ALTON,MT,390000160,2021,5146063
ALTON,MTART,390000160,2006,2220.65
ALTON,MTART,390000160,2007,2404.63
ALTON,MTART,390000160,2008,1905.25
ALTON,MTART,390000160,2009,978.8199999999999
ALTON,MTART,390000160,2010,183.81
ALTON,MTART,390000160,2011,210.38000000000002
ALTON,MTART,390000160,2012,17011.29
ALTON,MTART,390000160,2013,18877.64
ALTON,MTART,390000160,2014,17293.71
ALTON,MTART,390000160,2015,20512.9
ALTON,MTART,390000160,2016,20804.8
ALTON,MTART,390000160,2017,21992.6
ALTON,MTART,390000160,2018,24837.57
ALTON,MTART,390000160,2019,31314.87
ALTON,MTART,390000160,2020,28715.13
ALTON,MTART,390000160,2021,25849.69
ALTONA,MT,390000170,2006,18446.480000000003
ALTONA,MT,390000170,2007,20287.6
ALTONA,MT,390000170,2008,20733.89
ALTONA,MT,390000170,2009,20816.04
ALTONA,MT,390000170,2010,20474.99
ALTONA,MT,390000170,2011,25273.52
ALTONA,MT,390000170,2012,25496.48
ALTONA,MT,390000170,2013,23609.19
ALTONA,MT,390000170,2014,21769.58
ALTONA,MT,390000170,2015,19584.05
ALTONA,MT,390000170,2016,17082.97
ALTONA,MT,390000170,2017,16473.34
ALTONA,MT,390000170,2018,19714.01
ALTONA,MT,390000170,2019,19777.18
ALTONA,MT,390000170,2020,20190.66
ALTONA,MT,390000170,2021,20633.15
ALVIN,MT,390000185,2006,582.31
ALVIN,MT,390000185,2007,413.05
ALVIN,MT,390000185,2008,1176.9
ALVIN,MT,390000185,2009,1437.94
ALVIN,MT,390000185,2010,387.11
ALVIN,MT,390000185,2011,592.69
ALVIN,MT,390000185,2012,497
ALVIN,MT,390000185,2013,528.83
ALVIN,MT,390000185,2014,604.77
ALVIN,MT,390000185,2015,1392.52
ALVIN,MT,390000185,2016,2326.83
ALVIN,MT,390000185,2017,1643.14
ALVIN,MT,390000185,2018,1849.3
ALVIN,MT,390000185,2019,1305.45
ALVIN,MT,390000185,2020,1582.6
ALVIN,MT,390000185,2021,1898.08
AMBOY,MT,390000190,2006,170890.23
AMBOY,MT,390000190,2007,164938.03
AMBOY,MT,390000190,2008,157924.55
AMBOY,MT,390000190,2009,168333.24000000002
AMBOY,MT,390000190,2010,174807.13
AMBOY,MT,390000190,2011,149447.88999999998
AMBOY,MT,390000190,2012,150195.31
AMBOY,MT,390000190,2013,155641.56
AMBOY,MT,390000190,2014,154229.88
AMBOY,MT,390000190,2015,151787.28
AMBOY,MT,390000190,2016,141547.68
AMBOY,MT,390000190,2017,139575.41
AMBOY,MT,390000190,2018,159973.88
AMBOY,MT,390000190,2019,171726.32
AMBOY,MT,390000190,2020,172797.91
AMBOY,MT,390000190,2021,184172.57
ANCHOR,MT,390000198,2006,124.36
ANCHOR,MT,390000198,2007,457.75
ANCHOR,MT,390000198,2008,855.05
ANCHOR,MT,390000198,2009,482.2
