district number,county,fy_min,fy_max,name,names,pop
3204600502600,046,1997,2019,manteno cusd 5,"manteno community un,manteno comm unit sch dist 5,manteno cusd 5",1891.33
3204600602600,046,1997,2019,grant park cusd 6,"grant park community,grant park cusd 6,grant park c u  school dist 6",444.33
3204605300200,046,1997,2019,bourbonnais sd 53,"bourbonnais elementa,bourbonnais school dist 53,bourbonnais sd 53",2247.54
3204606100200,046,1997,2019,bradley sd 61,"bradley elementary s,bradley school dist 61,bradley sd 61",1280.14
3204611102500,046,1997,2019,kankakee sd 111,"kankakee school dist,kankakee,kankakee school dist 111,kankakee sd 111",3721.15
3204625600400,046,1997,2019,st anne ccsd 256,"st. anne community c,st anne community co,st anne c c school dist 256,st anne ccsd 256",305.01
3204625800400,046,1997,2019,st george ccsd 258,"st. george community,st george c c school dist 258,st george ccsd 258",413.78
3204625900400,046,1997,2019,pembroke ccsd 259,"pembroke community c,pembroke c c school district 259,pembroke ccsd 259",180.18
3204630201600,046,1997,2019,st anne chsd 302,"st. anne community h,st anne comm h s dist 302,st anne chsd 302",170.73
3204630701600,046,1997,2019,bradley bourbonnais chsd 307,"bradley bourbonnais,bradley bourbonnais c hs d 307,bradley bourbonnais chsd 307",1729.58
3303623502600,036,2015,2019,west central cusd 235,west central cusd 235,705.87
3304820202600,048,1997,2019,knoxville cusd 202,"knoxville community,knoxville c u school dist 202,knoxville cusd 202",866.38
3304820502600,048,1997,2019,galesburg cusd 205,"galesburg  community,galesburg community,galesburg c u school dist 205,galesburg cusd 205",3792.17
3304820802600,048,1997,2019,r o w v a cusd 208,"r.o.w.v.a. community,r.o.w.v.a community,r o w v a comm unit sch dist 208,r o w v a cusd 208",547.57
3304821002600,048,1997,2019,williamsfield cusd 210,"williamsfield commun,williamsfield c u s dist 210,williamsfield cusd 210",254.56
3304821702600,048,1997,2013,abingdon cusd 217,"abingdon community u,abingdon c u school dist 217,abingdon cusd 217",634.53
3304827602600,048,2014,2019,abingdon-avon cusd 276,abingdon-avon cusd 276,886.56
3306640402600,066,2015,2019,mercer county school district 404,mercer county school district 404,1215.39
3309423802600,094,2015,2019,monmouth-roseville cusd 238,monmouth-roseville cusd 238,1479.22
3309430402600,094,2015,2019,united cusd 304,united cusd 304,798.91
3404900100200,049,1997,2019,winthrop harbor sd 1,"winthrop harbor,winthrop harbor school dist 1,winthrop harbor sd 1",503.25
3404900300400,049,1997,2019,beach park ccsd 3,"beach park community,beach park cosolidat,beach park consolida,beach park c c school dist 3,beach park ccsd 3",1961.43
3404900600200,049,1997,2019,zion esd 6,"zion public schools,zion elementary scho,zion elementary school district 6,zion esd 6",2294.9
3404902400400,049,1997,2019,millburn ccsd 24,"millburn community c,milburn community co,millburn c c school dist 24,millburn ccsd 24",1058.59
3404903300200,049,1997,2019,emmons sd 33,"emmons school distri,emmons grade school,emmons school district 33,emmons sd 33",302.17
3404903400400,049,1997,2019,antioch ccsd 34,"antioch community co,antioch c c school district 34,antioch ccsd 34",2591.27
3404903600200,049,1997,2019,grass lake sd 36,"grass lake school,grass lake school di,grass lake school dist 36,grass lake sd 36",159.66
3404903700200,049,1997,2019,gavin sd 37,"gavin school,gavin school distric,gavin school dist 37,gavin sd 37",731.48
3404903800200,049,1997,2019,big hollow sd 38,"big hollow school,big hollow school di,big hollow school dist 38,big hollow sd 38",1662.89
3404904100400,049,1997,2019,lake villa ccsd 41,"lake villa community,lake villa c c school dist 41,lake villa ccsd 41",2445.68
3404904600400,049,1997,2019,grayslake ccsd 46,"grayslake grade,grayslake community,grayslake ccsd,grayslake c c school district 46,comm consolidated sch district 46,grayslake ccsd 46",3464.98
3404905000400,049,1997,2019,woodland ccsd 50,"woodland community,woodland community c,woodland c c school dist 50,woodland ccsd 50",5353.59
3404905600200,049,1997,2019,gurnee sd 56,"gurnee grade school,gurnee school dist 56,gurnee sd 56",1824.71
3404906002600,049,1997,2019,waukegan cusd 60,"waukegan unit,waukegan community u,waukegan c u school dist 60,waukegan cusd 60",14087.33
3404906500200,049,1997,2019,lake bluff esd 65,"lake bluff school di,lake bluff elem school dist 65,lake bluff esd 65",815.04
3404906700500,049,1997,2019,lake forest sd 67,"the city of lake for,lake forest school dist 67,lake forest sd 67",1481.63
3404906800200,049,1997,2019,oak grove sd 68 green oaks,"oak grove school dis,oak grove school dist 68,oak grove sd 68,oak grove sd 68 green oaks",865.61
3404907000200,049,1997,2019,libertyville sd 70,"libertyville element,libertyville  elemen,libertyville school dist 70,libertyville sd 70",2144.84
3404907200200,049,1997,2019,rondout sd 72,"rondout elementary s,rondout school dist 72,rondout sd 72",125.44
3404907300400,049,1997,2019,hawthorn ccsd 73,"hawthorn community c,hawthorn c c school dist 73,hawthorn ccsd 73",3817.66
3404907500200,049,1997,2019,mundelein esd 75,"mundelein elementary,mundelein elem school dist 75,mundelein esd 75",1582.78
3404907600200,049,1997,2019,diamond lake sd 76,"diamond lake,diamond lake school,diamond lake school dist 76,diamond lake sd 76",845.16
3404907900200,049,1997,2019,fremont sd 79,"fremont school distr,fremont sch dist,fremont school dist 79,fremont sd 79",2018.38
3404909502600,049,1997,2019,lake zurich cusd 95,"lake zurich communit,lake zurich unit sch,lake zurich c u sch dist 95,lake zurich cusd 95",5176.01
3404909600400,049,1997,2019,kildeer countryside ccsd 96,"kildeer countryside,kildeer community co,kildeer countryside c c s dist 96,kildeer countryside ccsd 96",3147.76
3404910200400,049,1997,2019,aptakisic-tripp ccsd 102,"aptakisic - tripp co,aptakisic-tripp c c s dist 102,aptakisic-tripp ccsd 102",2254.29
3404910300200,049,1997,2019,lincolnshire-prairieview sd 103,"lincolnshire-prairie,lincolnshire-prairieview s d 103,lincolnshire-prairieview sd 103",1694.24
3404910600200,049,1997,2019,bannockburn sd 106,"bannockburn,bannockburn school d,bannockburn school dist 106,bannockburn sd 106",138.32
3404910900200,049,1997,2019,deerfield sd 109,"deerfield public sch,deerfield school dist 109,deerfield sd 109",2778.95
3404911200200,049,1997,2019,north shore sd 112,"north shore,north shore sd 112",3612.06
3404911301700,049,1997,2019,twp hsd 113,"township high school,township high school dist 113,twp hsd 113",3265.73
3404911400200,049,1997,2019,fox lake gsd 114,"fox lake grade schoo,fox lake grade school dist 114,fox lake gsd 114",624.79
3404911501600,049,1997,2019,lake forest chsd 115,"lake forest communit,lake forest comm h s district 115,lake forest chsd 115",1442.88
3404911602600,049,1997,2019,round lake cusd 116,"round lake area scho,round lake area schs - dist 116,round lake cusd 116",6049.53
3404911701600,049,1997,2019,chsd 117,"antioch community hi,antioch comm high sch dist 117,community high sch district 117,chsd 117",2463.13
3404911802600,049,1997,2019,wauconda cusd 118,"wauconda community u,wauconda comm unit s dist 118,wauconda cusd 118",4086.52
3404912001300,049,1997,2019,mundelein cons hsd 120,"mundelein consolidat,mundelein cons high sch dist 120,mundelein cons hsd 120",1880.63
3404912101700,049,1997,2019,warren twp hsd 121,"warren township high,warren twp high sch dist 121,warren twp hsd 121",3578.13
3404912401600,049,1997,2019,grant chsd 124,"grant community high,grant comm h s district 124,grant chsd 124",1583.55
3404912501300,049,1997,2019,adlai e stevenson hsd 125,"adlai e stevenson,adlai e. stevenson h,adlai e stevenson dist 125,adlai e stevenson hsd 125",3986.6
3404912601700,049,1997,2019,zion-benton twp hsd 126,"zion benton twp hs,zion benton twp h s,zion-benton township,zion-benton twp h s dist 126,zion-benton twp hsd 126",2227.1
3404912701600,049,1997,2019,grayslake chsd 127,"grayslake community,grayslake high schoo,grayslake comm high sch dist 127,grayslake chsd 127",2536.91
3404912801600,049,1997,2019,chsd 128,"libertyville communi,community high schoo,libertyville comm h sch dist 128,community high sch dist 128,chsd 128",3141.02
3404918702600,049,1997,2019,north chicago sd 187,"north chicago commun,north chicago school dist 187,north chicago sd 187",3060.7
3404922002600,049,1997,2019,barrington cusd 220,"community unit schoo,barrington c u school dist 220,barrington cusd 220",7876.11
3505000102600,050,1997,2019,leland cusd 1,"leland community uni,leland comm unit sch dist 1,leland cusd 1",233.7
3505000202600,050,1997,2019,serena cusd 2,"community unit schoo,serena community uni,community unit sch dist 2,serena cusd 2",589.3
3505000902600,050,1997,2019,earlville cusd 9,"earlville cu sch,earlville community,earlville comm unit sch dist 9,earlville cusd 9",355.15
3505001750400,050,2018,2019,dimmick comm cons sd #175,dimmick comm cons sd #175,151.8
3505004001700,050,1997,2019,streator twp hsd 40,"streator township hi,streator twp h s dist 40,streator twp hsd 40",745.32
3505004400200,050,1997,2019,streator esd 44,"streator elementary,streator elem school dist 44,streator esd 44",1361.73
3505005600200,050,1997,2003,otter creek-hyatt school dist 56,"otter-creek-hyatt sc,otter-creek-hyatt,otter creek-hyatt,otter creek-hyatt school dist 56",26.65
3505006500400,050,1997,2019,allen-otter creek ccsd 65,"allen township commu,allen twp c c school dist 65,allen-otter creek ccsd 65",67.52
3505007900400,050,1997,2019,tonica ccsd 79,"tonica community con,tonica comm cons sch dist 79,tonica ccsd 79",142.6
3505008200400,050,1997,2019,deer park ccsd 82,"deer park community,deer park c c school,deer park c c school dist 82,deer park ccsd 82",70.19
3505009500400,050,1997,2019,grand ridge ccsd 95,"grand ridge communit,grand ridge c c school dist 95,grand ridge ccsd 95",179.86
3505012001700,050,1997,2019,la salle-peru twp hsd 120,"lasalle-peru townshi,la salle-peru twp h s d 120,la salle-peru twp hsd 120",1088.59
3505012200200,050,1997,2019,la salle esd 122,"la salle elementary,lasalle elem school dist 122,la salle esd 122",816.87
3505012400200,050,1997,2019,peru esd 124,"peru grade school di,peru elementary scho,peru elementary,peru elem school district 124,peru esd 124",915.82
3505012500200,050,1997,2019,oglesby esd 125,"oglesby public schoo,oglesby elementary,oglesby elem sch dist 125,oglesby esd 125",506.88
3505013500200,050,1997,2003,utica elem school dist 135,"utica elem school,utica elementary sch,utica elem school dist 135",48.49
3505014001700,050,1997,2019,ottawa twp hsd 140,"ottawa township high,ottawa twp h s dist 140,ottawa twp hsd 140",1119.1
